x,y,type,region,byName,byCode,enName,enCode,ruName,ruCode,byClassicName,byClassicCode,enClassicName,enClassicCode,byLatinName,byLatinCode
5,11,district,Берасьцейская,Баранавіцкі,БРН,Baranavichy,BRN,Барановичский,БРН,Баранавіцкі,БРН,Baranavichy,BRN,Baranavicki,BRN
2,14,district,Берасьцейская,Брэсцкі,БРС,Brest,BRS,Брестский,БРС,Берасьцейскі,БРС,Byerastse,BRS,Bieraściejski,BRŚ
4,13,district,Берасьцейская,Бярозаўскі,БЯР,Byaroza,BYA,Березовский,БЕР,Бярозаўскі,БЯР,Byaroza,BYA,Biarozaŭski,BIA
6,12,district,Берасьцейская,Ганцавіцкі,ГНЦ,Hantsavichy,HNT,Ганцевичский,ГНЦ,Ганцавіцкі,ГНЦ,Hantsavichy,HNT,Hancavicki,HNC
4,14,district,Берасьцейская,Драгічынскі,ДРГ,Drahichyn,DRH,Дрогичинский,ДРГ,Дарагічынскі,ДРГ,Drahichyn,DRH,Darahičynski,DRH
3,13,district,Берасьцейская,Жабінкаўскі,ЖБН,Zhabinka,ZHB,Жабинковский,ЖБН,Жабінкаўскі,ЖБН,Zhabinka,ZHB,Žabinkaŭski,ŽBN
5,13,district,Берасьцейская,Іванаўскі,ІВН,Ivanava,IVN,Ивановский,ИВН,Янаўскі,ЯНВ,Yanava,YAN,Janaŭski,JAN
5,12,district,Берасьцейская,Івацэвіцкі,ІВЦ,Ivatsevichy,IVT,Ивацевичский,ИВЦ,Івацэвіцкі,ІВЦ,Ivatsevichy,IVT,Ivacevicki,IVC
2,13,district,Берасьцейская,Камянецкі,КМН,Kamyanyets,KMN,Каменецкий,КМН,Камянецкі,КМН,Kamyanyets,KMN,Kamianiecki,KMN
3,14,district,Берасьцейская,Кобрынскі,КБР,Kobryn,KBR,Кобринский,КБР,Кобрынскі,КБР,Kobryn,KBR,Kobrynski,KBR
7,12,district,Берасьцейская,Лунінецкі,ЛНН,Luninyets,LNN,Лунинецкий,ЛНН,Лунінецкі,ЛНН,Luninyets,LNN,Łuniniecki,ŁNN
6,11,district,Берасьцейская,Ляхавіцкі,ЛХВ,Lyakhavichy,LKH,Ляховичский,ЛХВ,Ляхавіцкі,ЛХВ,Lyakhavichy,LKH,Lachavicki,LCH
2,15,district,Берасьцейская,Маларыцкі,МЛР,Malaryta,MLR,Малоритский,МЛР,Маларыцкі,МЛР,Malaryta,MLR,Małarycki,MŁR
6,13,district,Берасьцейская,Пінскі,ПНС,Pinsk,PNS,Пинский,ПНС,Пінскі,ПНС,Pinsk,PNS,Pinski,PNS
3,12,district,Берасьцейская,Пружанскі,ПРЖ,Pruzhany,PRZ,Пружанский,ПРЖ,Пружанскі,ПРЖ,Pruzhany,PRZ,Pružanski,PRŽ
7,13,district,Берасьцейская,Столінскі,СТЛ,Stolin,STL,Столинский,СТЛ,Столінскі,СТЛ,Stolin,STL,Stolinski,STL
12,7,district,Віцебская,Аршанскі,ОРШ,Orsha,ORS,Оршанский,ОРШ,Аршанскі,ВРШ,Vorsha,VRS,Aršanski,VRŠ
10,5,district,Віцебская,Бешанковіцкі,БШН,Byeshankovichy,BSH,Бешенковичский,БШН,Бешанковіцкі,БШН,Byeshankovichy,BSH,Biešankovicki,BŠN
7,4,district,Віцебская,Браслаўскі,БРА,Braslaw,BRA,Браславский,БРА,Браслаўскі,БРА,Braslaw,BRA,Brasłaŭski,BRA
8,3,district,Віцебская,Верхнядзвінскі,ВДВ,Vyerkhnyadzvinsk,VDV,Верхнедвинский,ВДВ,Дрысенскі,ДРС,Drysa,DRS,Drysienski,DRS
11,5,district,Віцебская,Віцебскі,ВЦБ,Vitsebsk,VTS,Витебский,ВТБ,Віцебскі,ВЦБ,Vitsebsk,VTS,Viciebski,VCB
