x,y,type,region,name,code
5,11,district,Берасьцейская,Баранавіцкі,БРН
2,14,district,Берасьцейская,Берасьцейскі,БРС
4,13,district,Берасьцейская,Бярозаўскі,БЯР
6,12,district,Берасьцейская,Ганцавіцкі,ГНЦ
4,14,district,Берасьцейская,Дарагічынскі,ДРГ
3,13,district,Берасьцейская,Жабінкаўскі,ЖБН
5,13,district,Берасьцейская,Янаўскі,ЯНВ
5,12,district,Берасьцейская,Івацэвіцкі,ІВЦ
2,13,district,Берасьцейская,Камянецкі,КМН
3,14,district,Берасьцейская,Кобрынскі,КБР
7,12,district,Берасьцейская,Лунінецкі,ЛНН
6,11,district,Берасьцейская,Ляхавіцкі,ЛХВ
2,15,district,Берасьцейская,Маларыцкі,МЛР
6,13,district,Берасьцейская,Пінскі,ПНС
3,12,district,Берасьцейская,Пружанскі,ПРЖ
7,13,district,Берасьцейская,Столінскі,СТЛ
12,7,district,Віцебская,Аршанскі,ВРШ
10,5,district,Віцебская,Бешанковіцкі,БШН
7,4,district,Віцебская,Браслаўскі,БРА
8,3,district,Віцебская,Дрысенскі,ДРС
11,5,district,Віцебская,Віцебскі,ВЦБ
11,4,district,Віцебская,Гарадоцкі,ГРД
8,5,district,Віцебская,Глыбоцкі,ГЛБ
8,6,district,Віцебская,Докшыцкі,ДКШ
13,7,district,Віцебская,Дубровенскі,ДУБ
12,6,district,Віцебская,Лёзьненскі,ЛЗН
9,6,district,Віцебская,Лепельскі,ЛПЛ
8,4,district,Віцебская,Мёрскі,МЁР
6,5,district,Віцебская,Пастаўскі,ПСТ
9,4,district,Віцебская,Полацкі,ПЛЦ
9,3,district,Віцебская,Расонскі,РСН
11,6,district,Віцебская,Сеньненскі,СНН
11,7,district,Віцебская,Талачынскі,ТЛЧ
9,5,district,Віцебская,Ушацкі,УШЧ
10,6,district,Віцебская,Чашніцкі,ЧШН
7,5,district,Віцебская,Шаркоўшчынскі,ШРК
10,4,district,Віцебская,Шумілінскі,ШМЛ
9,12,district,Гомельская,Рудабельскі,РДБ
11,15,district,Гомельская,Брагінскі,БРГ
12,13,district,Гомельская,Буда-Кашалёўскі,БДК
13,13,district,Гомельская,Веткаўскі,ВТК
12,14,district,Гомельская,Гомельскі,ГМЛ
13,14,district,Гомельская,Добрускі,ДБР
9,15,district,Гомельская,Ельскі,ЕЛС
11,12,district,Гомельская,Жлобінскі,ЖЛБ
8,12,district,Гомельская,Жыткавіцкі,ЖТК
10,13,district,Гомельская,Каленкавіцкі,КЛН
12,12,district,Гомельская,Кармянскі,КРМ
8,13,district,Гомельская,Лельчыцкі,ЛЛЧ
11,14,district,Гомельская,Лоеўскі,ЛОЕ
9,14,district,Гомельская,Мазырскі,МЗР
10,15,district,Гомельская,Нараўлянскі,НРЛ
9,13,district,Гомельская,Петрыкаўскі,ПТР
12,11,district,Гомельская,Рагачоўскі,РГЧ
11,13,district,Гомельская,Рэчыцкі,РЧЦ
10,12,district,Гомельская,Шацілавіцкі,ШЦЛ
10,14,district,Гомельская,Хвойніцкі,ХВН
13,12,district,Гомельская,Чачэрскі,ЧЧР
5,6,district,Гарадзенская,Астравецкі,АСТ
