x,y,type,region,name,code
5,11,district,Bieraściejskaja,Baranavicki,BRN
2,14,district,Bieraściejskaja,Bieraściejski,BRŚ
4,13,district,Bieraściejskaja,Biarozaŭski,BIA
6,12,district,Bieraściejskaja,Hancavicki,HNC
4,14,district,Bieraściejskaja,Darahičynski,DRH
3,13,district,Bieraściejskaja,Žabinkaŭski,ŽBN
5,13,district,Bieraściejskaja,Janaŭski,JAN
5,12,district,Bieraściejskaja,Ivacevicki,IVC
2,13,district,Bieraściejskaja,Kamianiecki,KMN
3,14,district,Bieraściejskaja,Kobrynski,KBR
7,12,district,Bieraściejskaja,Łuniniecki,ŁNN
6,11,district,Bieraściejskaja,Lachavicki,LCH
2,15,district,Bieraściejskaja,Małarycki,MŁR
6,13,district,Bieraściejskaja,Pinski,PNS
3,12,district,Bieraściejskaja,Pružanski,PRŽ
7,13,district,Bieraściejskaja,Stolinski,STL
12,7,district,Viciebskaja,Aršanski,VRŠ
10,5,district,Viciebskaja,Biešankovicki,BŠN
7,4,district,Viciebskaja,Brasłaŭski,BRA
8,3,district,Viciebskaja,Drysienski,DRS
11,5,district,Viciebskaja,Viciebski,VCB
11,4,district,Viciebskaja,Haradocki,HRD
8,5,district,Viciebskaja,Hłybocki,HŁB
8,6,district,Viciebskaja,Dokšycki,DKŠ
13,7,district,Viciebskaja,Dubrovienski,DUB
12,6,district,Viciebskaja,Loznienski,LZN
9,6,district,Viciebskaja,Lepielski,LPL
8,4,district,Viciebskaja,Miorski,MIO
6,5,district,Viciebskaja,Pastaŭski,PST
9,4,district,Viciebskaja,Połacki,PŁT
9,3,district,Viciebskaja,Rasonski,RSN
11,6,district,Viciebskaja,Sieńnienski,SNN
11,7,district,Viciebskaja,Tałačynski,TŁČ
9,5,district,Viciebskaja,Ušacki,UŠČ
10,6,district,Viciebskaja,Čašnicki,ČŠN
7,5,district,Viciebskaja,Šarkoŭščynski,ŠRK
10,4,district,Viciebskaja,Šumilinski,ŠML
9,12,district,Homielskaja,Rudabielski,RDB
11,15,district,Homielskaja,Brahinski,BRH
12,13,district,Homielskaja,Buda-Kašaloŭski,BDK
13,13,district,Homielskaja,Vietkaŭski,VTK
12,14,district,Homielskaja,Homielski,HML
13,14,district,Homielskaja,Dobruski,DBR
9,15,district,Homielskaja,Jelsk,JEL
11,12,district,Homielskaja,Žłobinski,ŽLB
8,12,district,Homielskaja,Žytkavicki,ŽTK
10,13,district,Homielskaja,Kalenkavicki,KLN
12,12,district,Homielskaja,Karmjanski,KRM
8,13,district,Homielskaja,Lelčycki,LLČ
11,14,district,Homielskaja,Łojeŭski,ŁOJ
9,14,district,Homielskaja,Mazyrski,MZR
10,15,district,Homielskaja,Naraŭlanski,NRL
9,13,district,Homielskaja,Pietrykaŭski,PTR
