x,y,type,region,name,code
5,11,district,Брэсцкая,Баранавіцкі,БРН
2,14,district,Брэсцкая,Брэсцкі,БРС
4,13,district,Брэсцкая,Бярозаўскі,БЯР
6,12,district,Брэсцкая,Ганцавіцкі,ГНЦ
4,14,district,Брэсцкая,Драгічынскі,ДРГ
3,13,district,Брэсцкая,Жабінкаўскі,ЖБН
5,13,district,Брэсцкая,Іванаўскі,ІВН
5,12,district,Брэсцкая,Івацэвіцкі,ІВЦ
2,13,district,Брэсцкая,Камянецкі,КМН
3,14,district,Брэсцкая,Кобрынскі,КБР
7,12,district,Брэсцкая,Лунінецкі,ЛНН
6,11,district,Брэсцкая,Ляхавіцкі,ЛХВ
2,15,district,Брэсцкая,Маларыцкі,МЛР
6,13,district,Брэсцкая,Пінскі,ПНС
3,12,district,Брэсцкая,Пружанскі,ПРЖ
7,13,district,Брэсцкая,Столінскі,СТЛ
12,7,district,Віцебская,Аршанскі,ОРШ
10,5,district,Віцебская,Бешанковіцкі,БШН
7,4,district,Віцебская,Браслаўскі,БРА
8,3,district,Віцебская,Верхнядзвінскі,ВДВ
11,5,district,Віцебская,Віцебскі,ВЦБ
11,4,district,Віцебская,Гарадоцкі,ГРД
8,5,district,Віцебская,Глыбоцкі,ГЛБ
8,6,district,Віцебская,Докшыцкі,ДКШ
13,7,district,Віцебская,Дубровенскі,ДУБ
12,6,district,Віцебская,Лёзненскі,ЛЗН
9,6,district,Віцебская,Лепельскі,ЛПЛ
8,4,district,Віцебская,Мёрскі,МЁР
6,5,district,Віцебская,Пастаўскі,ПСТ
9,4,district,Віцебская,Полацкі,ПЛЦ
9,3,district,Віцебская,Расонскі,РСН
11,6,district,Віцебская,Сенненскі,СНН
11,7,district,Віцебская,Талачынскі,ТЛЧ
9,5,district,Віцебская,Ушацкі,УШЧ
10,6,district,Віцебская,Чашніцкі,ЧШН
7,5,district,Віцебская,Шаркаўшчынскі,ШРК
10,4,district,Віцебская,Шумілінскі,ШМЛ
9,12,district,Гомельская,Акцябрскі,АКТ
11,15,district,Гомельская,Брагінскі,БРГ
12,13,district,Гомельская,Буда-Кашалёўскі,БДК
13,13,district,Гомельская,Веткаўскі,ВТК
12,14,district,Гомельская,Гомельскі,ГМЛ
13,14,district,Гомельская,Добрушскі,ДБР
9,15,district,Гомельская,Ельскі,ЕЛС
11,12,district,Гомельская,Жлобінскі,ЖЛБ
8,12,district,Гомельская,Жыткавіцкі,ЖТК
10,13,district,Гомельская,Калінкавіцкі,КЛН
12,12,district,Гомельская,Кармянскі,КРМ
8,13,district,Гомельская,Лельчыцкі,ЛЛЧ
11,14,district,Гомельская,Лоеўскі,ЛОЕ
9,14,district,Гомельская,Мазырскі,МЗР
10,15,district,Гомельская,Нараўлянскі,НРЛ
9,13,district,Гомельская,Петрыкаўскі,ПТР
12,11,district,Гомельская,Рагачоўскі,РГЧ
11,13,district,Гомельская,Рэчыцкі,РЧЦ
10,12,district,Гомельская,Светлагорскі,СВГ
10,14,district,Гомельская,Хойніцкі,ХОЙ
13,12,district,Гомельская,Чачэрскі,ЧЧР
5,6,district,Гродзенская,Астравецкі,АСТ
5,7,district,Гродзенская,Ашмянскі,АШМ
2,10,district,Гродзенская,Бераставіцкі,БЕР
3,11,district,Гродзенская,Ваўкавыскі,ВКВ
4,8,district,Гродзенская,Воранаўскі,ВРН
2,9,district,Гродзенская,Гродзенскі,ГРО
4,10,district,Гродзенская,Дзятлаўскі,ДЗТ
4,11,district,Гродзенская,Зэльвенскі,ЗЛВ
5,8,district,Гродзенская,Іўеўскі,ІЎЕ
5,10,district,Гродзенская,Карэліцкі,КРЛ
