x,y,type,region,name,code
5,11,district,Byerastse,Baranavichy,BRN
2,14,district,Byerastse,Byerastse,BRS
4,13,district,Byerastse,Byaroza,BYA
6,12,district,Byerastse,Hantsavichy,HNT
4,14,district,Byerastse,Drahichyn,DRH
3,13,district,Byerastse,Zhabinka,ZHB
5,13,district,Byerastse,Yanava,YAN
5,12,district,Byerastse,Ivatsevichy,IVT
2,13,district,Byerastse,Kamyanyets,KMN
3,14,district,Byerastse,Kobryn,KBR
7,12,district,Byerastse,Luninyets,LNN
6,11,district,Byerastse,Lyakhavichy,LKH
2,15,district,Byerastse,Malaryta,MLR
6,13,district,Byerastse,Pinsk,PNS
3,12,district,Byerastse,Pruzhany,PRZ
7,13,district,Byerastse,Stolin,STL
12,7,district,Vitsebsk,Vorsha,VRS
10,5,district,Vitsebsk,Byeshankovichy,BSH
7,4,district,Vitsebsk,Braslaw,BRA
8,3,district,Vitsebsk,Drysa,DRS
11,5,district,Vitsebsk,Vitsebsk,VTS
11,4,district,Vitsebsk,Haradok,HRD
8,5,district,Vitsebsk,Hlybokaye,HLB
8,6,district,Vitsebsk,Dokshytsy,DKS
13,7,district,Vitsebsk,Dubrowna,DUB
12,6,district,Vitsebsk,Lyozna,LZN
9,6,district,Vitsebsk,Lyepyel,LPL
8,4,district,Vitsebsk,Myory,MYO
6,5,district,Vitsebsk,Pastavy,PST
9,4,district,Vitsebsk,Polatsak,PLT
9,3,district,Vitsebsk,Rasony,RSN
11,6,district,Vitsebsk,Syanno,SNN
11,7,district,Vitsebsk,Talachyn,TLC
9,5,district,Vitsebsk,Ushachy,USH
10,6,district,Vitsebsk,Chashniki,CHS
7,5,district,Vitsebsk,Sharkowshchyna,SHR
10,4,district,Vitsebsk,Shumilina,SHM
9,12,district,Homyel,Rudabyelka,RDB
11,15,district,Homyel,Brahin,BRH
12,13,district,Homyel,Buda-Kashalyow,BDK
13,13,district,Homyel,Vyetka,VTK
12,14,district,Homyel,Homyel,HML
13,14,district,Homyel,Dobrush,DBR
9,15,district,Homyel,Yelsk,YEL
11,12,district,Homyel,Zhlobin,ZHL
8,12,district,Homyel,Zhytkavichy,ZHT
10,13,district,Homyel,Kalyenkavichy,KLN
12,12,district,Homyel,Karma,KRM
8,13,district,Homyel,Lyelchytsy,LLC
11,14,district,Homyel,Loyew,LOY
9,14,district,Homyel,Mazyr,MZR
10,15,district,Homyel,Narowlya,NRL
9,13,district,Homyel,Pyetrykaw,PTR
12,11,district,Homyel,Rahachow,RHC
11,13,district,Homyel,Rechytsa,RCH
10,12,district,Homyel,Shatsilavichy,SHT
10,14,district,Homyel,Khvoyniki,KHV
13,12,district,Homyel,Chachersk,CHC
5,6,district,Horadnya,Astravyets,AST
5,7,district,Horadnya,Ashmyany,ASH
2,10,district,Horadnya,Byerastavitsa,BYE
3,11,district,Horadnya,Vawkavysk,VKV
4,8,district,Horadnya,Vyarenaw,VRN
2,9,district,Horadnya,Horadnya,HOR
4,10,district,Horadnya,Zdzyetsyel,ZDZ
4,11,district,Horadnya,Zelva,ZLV
5,8,district,Horadnya,Iwye,IWY
5,10,district,Horadnya,Karelichy,KRL
4,9,district,Horadnya,Lida,LID
3,10,district,Horadnya,Masty,MST
5,9,district,Horadnya,Navahrudak,NVH
2,11,district,Horadnya,Svislach,SVS
4,12,district,Horadnya,Slonim,SLN
6,7,district,Horadnya,Smarhon,SMR
3,9,district,Horadnya,Shchuchyn,SCU
10,10,district,Mahilyow,Asipavichy,ASP
11,11,district,Mahilyow,Babruysk,BBR
12,10,district,Mahilyow,Bykhaw,BKH
11,9,district,Mahilyow,Byalynichy,BLN
10,11,district,Mahilyow,Hlusk,HLS
13,8,district,Mahilyow,Horki,HRK
13,9,district,Mahilyow,Drybin,DRB
15,11,district,Mahilyow,Kastsyukovichy,KST
11,10,district,Mahilyow,Kacherychy,KCH
15,9,district,Mahilyow,Klimavichy,KLM
10,9,district,Mahilyow,Klichaw,KLC
14,11,district,Mahilyow,Krasnapollye,KRS
11,8,district,Mahilyow,Kruhlaye,KRH
14,9,district,Mahilyow,Krychaw,KRY
12,9,district,Mahilyow,Mahilyow,MHL
14,8,district,Mahilyow,Amstsislaw,AMS
13,11,district,Mahilyow,Prapoysk,PRP
15,10,district,Mahilyow,Khotsimsk,KHT
13,10,district,Mahilyow,Chavusy,CHV
14,10,district,Mahilyow,Cherykaw,CHR
12,8,district,Mahilyow,Shklow,SKL
9,7,district,Myensk,Barysaw,BAR
10,8,district,Myensk,Byarezan,BRZ
6,8,district,Myensk,Valozhyn,VLZ
7,6,district,Myensk,Vyalyeyka,VLK
7,8,district,Myensk,Koydanaw,KDN
7,10,district,Myensk,Kapyl,KPL
7,11,district,Myensk,Klyetsak,KLT
