x,y,type,region,name,code
5,11,district,Brest,Baranavichy,BRN
2,14,district,Brest,Brest,BRS
4,13,district,Brest,Byaroza,BYA
6,12,district,Brest,Hantsavichy,HNT
4,14,district,Brest,Drahichyn,DRH
3,13,district,Brest,Zhabinka,ZHB
5,13,district,Brest,Ivanava,IVN
5,12,district,Brest,Ivatsevichy,IVT
2,13,district,Brest,Kamyanyets,KMN
3,14,district,Brest,Kobryn,KBR
7,12,district,Brest,Luninyets,LNN
6,11,district,Brest,Lyakhavichy,LKH
2,15,district,Brest,Malaryta,MLR
6,13,district,Brest,Pinsk,PNS
3,12,district,Brest,Pruzhany,PRZ
7,13,district,Brest,Stolin,STL
12,7,district,Vitsebsk,Orsha,ORS
10,5,district,Vitsebsk,Byeshankovichy,BSH
7,4,district,Vitsebsk,Braslaw,BRA
8,3,district,Vitsebsk,Vyerkhnyadzvinsk,VDV
11,5,district,Vitsebsk,Vitsebsk,VTS
11,4,district,Vitsebsk,Haradok,HRD
8,5,district,Vitsebsk,Hlybokaye,HLB
8,6,district,Vitsebsk,Dokshytsy,DKS
13,7,district,Vitsebsk,Dubrowna,DUB
12,6,district,Vitsebsk,Lyozna,LZN
9,6,district,Vitsebsk,Lyepyel,LPL
8,4,district,Vitsebsk,Myory,MYO
6,5,district,Vitsebsk,Pastavy,PST
9,4,district,Vitsebsk,Polatsk,PLT
9,3,district,Vitsebsk,Rasony,RSN
11,6,district,Vitsebsk,Syanno,SNN
11,7,district,Vitsebsk,Talachyn,TLC
9,5,district,Vitsebsk,Ushachy,USH
10,6,district,Vitsebsk,Chashniki,CHS
7,5,district,Vitsebsk,Sharkawshchyna,SHR
10,4,district,Vitsebsk,Shumilina,SHM
9,12,district,Homyel,Aktsyabrski,AKT
11,15,district,Homyel,Brahin,BRH
12,13,district,Homyel,Buda-Kashalyova,BDK
13,13,district,Homyel,Vyetka,VTK
12,14,district,Homyel,Homyel,HML
13,14,district,Homyel,Dobrush,DBR
9,15,district,Homyel,Yelʹsk,YEL
11,12,district,Homyel,Zhlobin,ZHL
8,12,district,Homyel,Zhytkavichy,ZHT
10,13,district,Homyel,Kalinkavichy,KLN
12,12,district,Homyel,Karma,KRM
8,13,district,Homyel,Lyelchytsy,LLC
11,14,district,Homyel,Loyew,LOY
9,14,district,Homyel,Mazyr,MZR
10,15,district,Homyel,Narowlya,NRL
9,13,district,Homyel,Pyetrykaw,PTR
12,11,district,Homyel,Rahachow,RHC
11,13,district,Homyel,Rechytsa,RCH
10,12,district,Homyel,Svyetlahorsk,SVH
10,14,district,Homyel,Khoyniki,KHN
13,12,district,Homyel,Chachersk,CHC
5,6,district,Hrodna,Astravyets,AST
5,7,district,Hrodna,Ashmyany,ASH
2,10,district,Hrodna,Byerastavitsa,BYE
3,11,district,Hrodna,Vawkavysk,VKV
4,8,district,Hrodna,Voranava,VRN
2,9,district,Hrodna,Hrodna,HRO
4,10,district,Hrodna,Dzyatlava,DZT
4,11,district,Hrodna,Zelva,ZLV
5,8,district,Hrodna,Iwye,IWY
5,10,district,Hrodna,Karelichy,KRL
4,9,district,Hrodna,Lida,LID
3,10,district,Hrodna,Masty,MST
5,9,district,Hrodna,Navahrudak,NVH
2,11,district,Hrodna,Svislach,SVS
4,12,district,Hrodna,Slonim,SLN
6,7,district,Hrodna,Smarhon,SMR
3,9,district,Hrodna,Shchuchyn,SCU
10,10,district,Mahilyow,Asipovichy,ASP
11,11,district,Mahilyow,Babruysk,BBR
12,10,district,Mahilyow,Bykhaw,BKH
11,9,district,Mahilyow,Byalynichy,BLN
10,11,district,Mahilyow,Hlusk,HLS
13,8,district,Mahilyow,Horki,HRK
13,9,district,Mahilyow,Drybin,DRB
15,11,district,Mahilyow,Kastsyukovichy,KST
11,10,district,Mahilyow,Kirawsk,KRW
15,9,district,Mahilyow,Klimavichy,KLM
10,9,district,Mahilyow,Klichaw,KLC
14,11,district,Mahilyow,Krasnapollye,KRS
11,8,district,Mahilyow,Kruhlaye,KRH
14,9,district,Mahilyow,Krychaw,KRY
12,9,district,Mahilyow,Mahilyow,MHL
14,8,district,Mahilyow,Mstsislaw,MSS
13,11,district,Mahilyow,Slawharad,SLA
15,10,district,Mahilyow,Khotsimsk,KHT
13,10,district,Mahilyow,Chavusy,CHV
14,10,district,Mahilyow,Cherykaw,CHR
12,8,district,Mahilyow,Shklow,SKL
9,7,district,Minsk,Barysaw,BAR
10,8,district,Minsk,Byerazino,BRZ
6,8,district,Minsk,Valozhyn,VLZ
7,6,district,Minsk,Vilyeyka,VLK
7,8,district,Minsk,Dzyarzhynsk,DZR
7,10,district,Minsk,Kapyl,KPL
7,11,district,Minsk,Kletsk,KLT
10,7,district,Minsk,Krupki,KRP
8,7,district,Minsk,Lahoysk,LHS
9,11,district,Minsk,Lyuban,LBN
7,7,district,Minsk,Maladzyechna,MLD
8,8,district,Minsk,Minsk,MNS
6,6,district,Minsk,Myadzyel,MDZ
6,10,district,Minsk,Nyasvizh,NSV
8,9,district,Minsk,Pukhavichy,PKH
8,11,district,Minsk,Salihorsk,SLH
8,10,district,Minsk,Slutsk,SLT
9,8,district,Minsk,Smalyavichy,SML
9,10,district,Minsk,Staryya Darohi,STD
6,9,district,Minsk,Stowbtsy,STB
7,9,district,Minsk,Uzda,UZD
9,9,district,Minsk,Chervyen,CRV
1,1,city,Hrodna,Hrodna,cHRO
4,1,city,Vitsebsk,Navapolatsk,cNVP
5,1,city,Vitsebsk,Vitsebsk,cVTS
2,2,city,Brest,Baranavichy,cBRN
3,2,city,Minsk,Minsk,cMNS
4,2,city,Minsk,Zhodzina,cZHD
5,2,city,Mahilyow,Mahilyow,cMHL
1,3,city,Brest,Brest,cBRS
2,3,city,Brest,Pinsk,cPNS
4,3,city,Mahilyow,Babruysk,cBBR
5,3,city,Homyel,Homyel,cHML
