x,y,type,region,name,code
5,11,district,Брестская,Барановичский,БРН
2,14,district,Брестская,Брестский,БРС
4,13,district,Брестская,Березовский,БЕР
6,12,district,Брестская,Ганцевичский,ГНЦ
4,14,district,Брестская,Дрогичинский,ДРГ
3,13,district,Брестская,Жабинковский,ЖБН
5,13,district,Брестская,Ивановский,ИВН
5,12,district,Брестская,Ивацевичский,ИВЦ
2,13,district,Брестская,Каменецкий,КМН
3,14,district,Брестская,Кобринский,КБР
7,12,district,Брестская,Лунинецкий,ЛНН
6,11,district,Брестская,Ляховичский,ЛХВ
2,15,district,Брестская,Малоритский,МЛР
6,13,district,Брестская,Пинский,ПНС
3,12,district,Брестская,Пружанский,ПРЖ
7,13,district,Брестская,Столинский,СТЛ
12,7,district,Витебская,Оршанский,ОРШ
10,5,district,Витебская,Бешенковичский,БШН
7,4,district,Витебская,Браславский,БРА
8,3,district,Витебская,Верхнедвинский,ВДВ
11,5,district,Витебская,Витебский,ВТБ
11,4,district,Витебская,Городокский,ГРД
8,5,district,Витебская,Глубокский,ГЛБ
8,6,district,Витебская,Докшицкий,ДКШ
13,7,district,Витебская,Дубровенский,ДУБ
12,6,district,Витебская,Лиозненский,ЛЗН
9,6,district,Витебская,Лепельский,ЛПЛ
8,4,district,Витебская,Миорский,МИО
6,5,district,Витебская,Поставский,ПСТ
9,4,district,Витебская,Полоцкий,ПЛЦ
9,3,district,Витебская,Россонский,РСС
11,6,district,Витебская,Сенненский,СНН
11,7,district,Витебская,Толочинский,ТЛЧ
9,5,district,Витебская,Ушачский,УШЧ
10,6,district,Витебская,Чашникский,ЧШН
7,5,district,Витебская,Шарковщинский,ШРК
10,4,district,Витебская,Шумилинский,ШМЛ
9,12,district,Гомельская,Октябрьский,ОКТ
11,15,district,Гомельская,Брагинский,БРГ
12,13,district,Гомельская,Буда-Кошелевский,БДК
13,13,district,Гомельская,Ветковский,ВТК
12,14,district,Гомельская,Гомельский,ГМЛ
13,14,district,Гомельская,Добрушский,ДБР
9,15,district,Гомельская,Ельский,ЕЛС
11,12,district,Гомельская,Жлобинский,ЖЛБ
8,12,district,Гомельская,Житковичский,ЖТК
10,13,district,Гомельская,Калинковичский,КЛН
12,12,district,Гомельская,Кормянский,КРМ
8,13,district,Гомельская,Лельчицкий,ЛЛЧ
11,14,district,Гомельская,Лоевский,ЛОЕ
9,14,district,Гомельская,Мозырский,МЗР
10,15,district,Гомельская,Наровлянский,НРЛ
9,13,district,Гомельская,Петриковский,ПТР
12,11,district,Гомельская,Рогачевский,РГЧ
11,13,district,Гомельская,Речицкий,РЧЦ
10,12,district,Гомельская,Светлогорский,СВГ
10,14,district,Гомельская,Хойникский,ХОЙ
13,12,district,Гомельская,Чечерский,ЧЧР
5,6,district,Гродненская,Островецкий,ОСТ
5,7,district,Гродненская,Ошмянский,ОШМ
2,10,district,Гродненская,Берестовицкий,БРВ
